"Statistic Label","Year","Geographic Location","Type of Investment","UNIT","VALUE"
"Direct Investment  Flows Abroad","2012","All countries and international organisations","All Direct Investment","Euro Million","17548"
"Direct Investment  Flows Abroad","2012","United States","All Direct Investment","Euro Million","6734"
"Direct Investment  Flows Abroad","2012","Asia (6)","All Direct Investment","Euro Million","920"
"Direct Investment  Flows Abroad","2012","EU28","All Direct Investment","Euro Million","-278"
"Direct Investment  Flows Abroad","2012","Europe (3)","All Direct Investment","Euro Million","4867"
"Direct Investment  Flows Abroad","2012","North America (1)","All Direct Investment","Euro Million","6756"
"Direct Investment  Flows Abroad","2013","All countries and international organisations","All Direct Investment","Euro Million","21969"
"Direct Investment  Flows Abroad","2013","United States","All Direct Investment","Euro Million","109"
"Direct Investment  Flows Abroad","2013","Asia (6)","All Direct Investment","Euro Million","508"
"Direct Investment  Flows Abroad","2013","EU28","All Direct Investment","Euro Million","21057"
"Direct Investment  Flows Abroad","2013","Europe (3)","All Direct Investment","Euro Million","27885"
"Direct Investment  Flows Abroad","2013","North America (1)","All Direct Investment","Euro Million","64"
"Direct Investment  Flows Abroad","2014","All countries and international organisations","All Direct Investment","Euro Million","31038"
"Direct Investment  Flows Abroad","2014","United States","All Direct Investment","Euro Million","-4107"
"Direct Investment  Flows Abroad","2014","Asia (6)","All Direct Investment","Euro Million","1021"
"Direct Investment  Flows Abroad","2014","EU28","All Direct Investment","Euro Million","39875"
"Direct Investment  Flows Abroad","2014","Europe (3)","All Direct Investment","Euro Million","27641"
"Direct Investment  Flows Abroad","2014","North America (1)","All Direct Investment","Euro Million","-3995"
"Direct Investment  Flows Abroad","2015","All countries and international organisations","All Direct Investment","Euro Million","151851"
"Direct Investment  Flows Abroad","2015","United States","All Direct Investment","Euro Million","62870"
"Direct Investment  Flows Abroad","2015","Asia (6)","All Direct Investment","Euro Million","9304"
"Direct Investment  Flows Abroad","2015","EU28","All Direct Investment","Euro Million","66665"
"Direct Investment  Flows Abroad","2015","Europe (3)","All Direct Investment","Euro Million","74349"
"Direct Investment  Flows Abroad","2015","North America (1)","All Direct Investment","Euro Million","63390"
"Direct Investment  Flows Abroad","2016","All countries and international organisations","All Direct Investment","Euro Million","27180"
"Direct Investment  Flows Abroad","2016","United States","All Direct Investment","Euro Million","7056"
"Direct Investment  Flows Abroad","2016","Asia (6)","All Direct Investment","Euro Million","-1815"
"Direct Investment  Flows Abroad","2016","EU28","All Direct Investment","Euro Million","6500"
"Direct Investment  Flows Abroad","2016","Europe (3)","All Direct Investment","Euro Million","535"
"Direct Investment  Flows Abroad","2016","North America (1)","All Direct Investment","Euro Million","7163"
"Direct Investment  Flows Abroad","2017","All countries and international organisations","All Direct Investment","Euro Million","-1813"
"Direct Investment  Flows Abroad","2017","United States","All Direct Investment","Euro Million","3614"
"Direct Investment  Flows Abroad","2017","Asia (6)","All Direct Investment","Euro Million",""
"Direct Investment  Flows Abroad","2017","EU28","All Direct Investment","Euro Million","-45983"
"Direct Investment  Flows Abroad","2017","Europe (3)","All Direct Investment","Euro Million","-24871"
"Direct Investment  Flows Abroad","2017","North America (1)","All Direct Investment","Euro Million","3904"
"Direct Investment  Flows Abroad","2018","All countries and international organisations","All Direct Investment","Euro Million","4364"
"Direct Investment  Flows Abroad","2018","United States","All Direct Investment","Euro Million","-5059"
"Direct Investment  Flows Abroad","2018","Asia (6)","All Direct Investment","Euro Million","4740"
"Direct Investment  Flows Abroad","2018","EU28","All Direct Investment","Euro Million","-50912"
"Direct Investment  Flows Abroad","2018","Europe (3)","All Direct Investment","Euro Million","-10843"
"Direct Investment  Flows Abroad","2018","North America (1)","All Direct Investment","Euro Million","-5360"
"Direct Investment  Flows Abroad","2019","All countries and international organisations","All Direct Investment","Euro Million","28659"
"Direct Investment  Flows Abroad","2019","United States","All Direct Investment","Euro Million","17495"
"Direct Investment  Flows Abroad","2019","Asia (6)","All Direct Investment","Euro Million","1141"
"Direct Investment  Flows Abroad","2019","EU28","All Direct Investment","Euro Million","27835"
"Direct Investment  Flows Abroad","2019","Europe (3)","All Direct Investment","Euro Million","17564"
"Direct Investment  Flows Abroad","2019","North America (1)","All Direct Investment","Euro Million","18110"
"Direct Investment  Flows Abroad","2020","All countries and international organisations","All Direct Investment","Euro Million","-9981"
"Direct Investment  Flows Abroad","2020","United States","All Direct Investment","Euro Million","113897"
"Direct Investment  Flows Abroad","2020","Asia (6)","All Direct Investment","Euro Million","-4091"
"Direct Investment  Flows Abroad","2020","EU28","All Direct Investment","Euro Million","-102773"
"Direct Investment  Flows Abroad","2020","Europe (3)","All Direct Investment","Euro Million","-110427"
"Direct Investment  Flows Abroad","2020","North America (1)","All Direct Investment","Euro Million","114257"
"Direct Investment  Flows Abroad","2021","All countries and international organisations","All Direct Investment","Euro Million","47470"
"Direct Investment  Flows Abroad","2021","United States","All Direct Investment","Euro Million","10563"
"Direct Investment  Flows Abroad","2021","Asia (6)","All Direct Investment","Euro Million","3887"
"Direct Investment  Flows Abroad","2021","EU28","All Direct Investment","Euro Million","40223"
"Direct Investment  Flows Abroad","2021","Europe (3)","All Direct Investment","Euro Million","41093"
"Direct Investment  Flows Abroad","2021","North America (1)","All Direct Investment","Euro Million","10210"
"Direct Investment  Flows Abroad","2022","All countries and international organisations","All Direct Investment","Euro Million","8920"
"Direct Investment  Flows Abroad","2022","United States","All Direct Investment","Euro Million",""
"Direct Investment  Flows Abroad","2022","Asia (6)","All Direct Investment","Euro Million",""
"Direct Investment  Flows Abroad","2022","EU28","All Direct Investment","Euro Million","17769"
"Direct Investment  Flows Abroad","2022","Europe (3)","All Direct Investment","Euro Million","20662"
"Direct Investment  Flows Abroad","2022","North America (1)","All Direct Investment","Euro Million","9112"
"Direct Investment  Flows in Ireland","2012","All countries and international organisations","All Direct Investment","Euro Million","38046"
"Direct Investment  Flows in Ireland","2012","United States","All Direct Investment","Euro Million","3757"
"Direct Investment  Flows in Ireland","2012","Asia (6)","All Direct Investment","Euro Million","4331"
"Direct Investment  Flows in Ireland","2012","EU28","All Direct Investment","Euro Million","24122"
"Direct Investment  Flows in Ireland","2012","Europe (3)","All Direct Investment","Euro Million","25113"
"Direct Investment  Flows in Ireland","2012","North America (1)","All Direct Investment","Euro Million","4391"
"Direct Investment  Flows in Ireland","2013","All countries and international organisations","All Direct Investment","Euro Million","38107"
"Direct Investment  Flows in Ireland","2013","United States","All Direct Investment","Euro Million","9615"
"Direct Investment  Flows in Ireland","2013","Asia (6)","All Direct Investment","Euro Million","-952"
"Direct Investment  Flows in Ireland","2013","EU28","All Direct Investment","Euro Million","22292"
"Direct Investment  Flows in Ireland","2013","Europe (3)","All Direct Investment","Euro Million","24443"
"Direct Investment  Flows in Ireland","2013","North America (1)","All Direct Investment","Euro Million","9700"
"Direct Investment  Flows in Ireland","2014","All countries and international organisations","All Direct Investment","Euro Million","36317"
"Direct Investment  Flows in Ireland","2014","United States","All Direct Investment","Euro Million","6893"
"Direct Investment  Flows in Ireland","2014","Asia (6)","All Direct Investment","Euro Million","-3802"
"Direct Investment  Flows in Ireland","2014","EU28","All Direct Investment","Euro Million","19555"
"Direct Investment  Flows in Ireland","2014","Europe (3)","All Direct Investment","Euro Million","19549"
"Direct Investment  Flows in Ireland","2014","North America (1)","All Direct Investment","Euro Million","7178"
"Direct Investment  Flows in Ireland","2015","All countries and international organisations","All Direct Investment","Euro Million","196363"
"Direct Investment  Flows in Ireland","2015","United States","All Direct Investment","Euro Million","76457"
"Direct Investment  Flows in Ireland","2015","Asia (6)","All Direct Investment","Euro Million","7702"
"Direct Investment  Flows in Ireland","2015","EU28","All Direct Investment","Euro Million","48943"
"Direct Investment  Flows in Ireland","2015","Europe (3)","All Direct Investment","Euro Million","79976"
"Direct Investment  Flows in Ireland","2015","North America (1)","All Direct Investment","Euro Million","75488"
"Direct Investment  Flows in Ireland","2016","All countries and international organisations","All Direct Investment","Euro Million","35607"
"Direct Investment  Flows in Ireland","2016","United States","All Direct Investment","Euro Million","-55433"
"Direct Investment  Flows in Ireland","2016","Asia (6)","All Direct Investment","Euro Million","-11676"
"Direct Investment  Flows in Ireland","2016","EU28","All Direct Investment","Euro Million","-25915"
"Direct Investment  Flows in Ireland","2016","Europe (3)","All Direct Investment","Euro Million","96488"
"Direct Investment  Flows in Ireland","2016","North America (1)","All Direct Investment","Euro Million","-56390"
"Direct Investment  Flows in Ireland","2017","All countries and international organisations","All Direct Investment","Euro Million","46770"
"Direct Investment  Flows in Ireland","2017","United States","All Direct Investment","Euro Million","-53064"
"Direct Investment  Flows in Ireland","2017","Asia (6)","All Direct Investment","Euro Million","-1433"
"Direct Investment  Flows in Ireland","2017","EU28","All Direct Investment","Euro Million","87470"
"Direct Investment  Flows in Ireland","2017","Europe (3)","All Direct Investment","Euro Million","101238"
"Direct Investment  Flows in Ireland","2017","North America (1)","All Direct Investment","Euro Million","-54721"
"Direct Investment  Flows in Ireland","2018","All countries and international organisations","All Direct Investment","Euro Million","-10176"
"Direct Investment  Flows in Ireland","2018","United States","All Direct Investment","Euro Million","74256"
"Direct Investment  Flows in Ireland","2018","Asia (6)","All Direct Investment","Euro Million","19708"
"Direct Investment  Flows in Ireland","2018","EU28","All Direct Investment","Euro Million","-171161"
"Direct Investment  Flows in Ireland","2018","Europe (3)","All Direct Investment","Euro Million","-154913"
"Direct Investment  Flows in Ireland","2018","North America (1)","All Direct Investment","Euro Million","73643"
"Direct Investment  Flows in Ireland","2019","All countries and international organisations","All Direct Investment","Euro Million","133485"
"Direct Investment  Flows in Ireland","2019","United States","All Direct Investment","Euro Million","-105339"
"Direct Investment  Flows in Ireland","2019","Asia (6)","All Direct Investment","Euro Million","-7010"
"Direct Investment  Flows in Ireland","2019","EU28","All Direct Investment","Euro Million","42804"
"Direct Investment  Flows in Ireland","2019","Europe (3)","All Direct Investment","Euro Million","67936"
"Direct Investment  Flows in Ireland","2019","North America (1)","All Direct Investment","Euro Million","-105594"
"Direct Investment  Flows in Ireland","2020","All countries and international organisations","All Direct Investment","Euro Million","89755"
"Direct Investment  Flows in Ireland","2020","United States","All Direct Investment","Euro Million",""
"Direct Investment  Flows in Ireland","2020","Asia (6)","All Direct Investment","Euro Million","11467"
"Direct Investment  Flows in Ireland","2020","EU28","All Direct Investment","Euro Million","9719"
"Direct Investment  Flows in Ireland","2020","Europe (3)","All Direct Investment","Euro Million","33720"
"Direct Investment  Flows in Ireland","2020","North America (1)","All Direct Investment","Euro Million","47403"
"Direct Investment  Flows in Ireland","2021","All countries and international organisations","All Direct Investment","Euro Million","-3324"
"Direct Investment  Flows in Ireland","2021","United States","All Direct Investment","Euro Million","-51502"
"Direct Investment  Flows in Ireland","2021","Asia (6)","All Direct Investment","Euro Million","6737"
"Direct Investment  Flows in Ireland","2021","EU28","All Direct Investment","Euro Million","-20193"
"Direct Investment  Flows in Ireland","2021","Europe (3)","All Direct Investment","Euro Million","-4423"
"Direct Investment  Flows in Ireland","2021","North America (1)","All Direct Investment","Euro Million","-50528"
"Direct Investment  Flows in Ireland","2022","All countries and international organisations","All Direct Investment","Euro Million","-23798"
"Direct Investment  Flows in Ireland","2022","United States","All Direct Investment","Euro Million","1387"
"Direct Investment  Flows in Ireland","2022","Asia (6)","All Direct Investment","Euro Million","8759"
"Direct Investment  Flows in Ireland","2022","EU28","All Direct Investment","Euro Million","27461"
"Direct Investment  Flows in Ireland","2022","Europe (3)","All Direct Investment","Euro Million","2408"
"Direct Investment  Flows in Ireland","2022","North America (1)","All Direct Investment","Euro Million","1343"
