"Statistic Label","Year","Employment Size","County","UNIT","VALUE"
"Active Enterprises","2008","All persons engaged size classes","All Counties","Number","244195"
"Active Enterprises","2008","All persons engaged size classes","Dublin","Number","70743"
"Active Enterprises","2008","All persons engaged size classes","Cork","Number","27280"
"Active Enterprises","2008","All persons engaged size classes","Limerick","Number","8998"
"Active Enterprises","2008","250 and over","All Counties","Number","525"
"Active Enterprises","2008","250 and over","Dublin","Number","318"
"Active Enterprises","2008","250 and over","Cork","Number","49"
"Active Enterprises","2008","250 and over","Limerick","Number","15"
"Active Enterprises","2009","All persons engaged size classes","All Counties","Number","244428"
"Active Enterprises","2009","All persons engaged size classes","Dublin","Number","73833"
"Active Enterprises","2009","All persons engaged size classes","Cork","Number","27201"
"Active Enterprises","2009","All persons engaged size classes","Limerick","Number","9171"
"Active Enterprises","2009","250 and over","All Counties","Number","489"
"Active Enterprises","2009","250 and over","Dublin","Number","298"
"Active Enterprises","2009","250 and over","Cork","Number","46"
"Active Enterprises","2009","250 and over","Limerick","Number","15"
"Active Enterprises","2010","All persons engaged size classes","All Counties","Number","242692"
"Active Enterprises","2010","All persons engaged size classes","Dublin","Number","74392"
"Active Enterprises","2010","All persons engaged size classes","Cork","Number","27120"
"Active Enterprises","2010","All persons engaged size classes","Limerick","Number","8943"
"Active Enterprises","2010","250 and over","All Counties","Number","463"
"Active Enterprises","2010","250 and over","Dublin","Number","287"
"Active Enterprises","2010","250 and over","Cork","Number","38"
"Active Enterprises","2010","250 and over","Limerick","Number","13"
"Active Enterprises","2011","All persons engaged size classes","All Counties","Number","240880"
"Active Enterprises","2011","All persons engaged size classes","Dublin","Number","74421"
"Active Enterprises","2011","All persons engaged size classes","Cork","Number","27002"
"Active Enterprises","2011","All persons engaged size classes","Limerick","Number","8864"
"Active Enterprises","2011","250 and over","All Counties","Number","462"
"Active Enterprises","2011","250 and over","Dublin","Number","277"
"Active Enterprises","2011","250 and over","Cork","Number","42"
"Active Enterprises","2011","250 and over","Limerick","Number","12"
"Active Enterprises","2012","All persons engaged size classes","All Counties","Number","244394"
"Active Enterprises","2012","All persons engaged size classes","Dublin","Number","76547"
"Active Enterprises","2012","All persons engaged size classes","Cork","Number","27282"
"Active Enterprises","2012","All persons engaged size classes","Limerick","Number","8982"
"Active Enterprises","2012","250 and over","All Counties","Number","478"
"Active Enterprises","2012","250 and over","Dublin","Number","288"
"Active Enterprises","2012","250 and over","Cork","Number","43"
"Active Enterprises","2012","250 and over","Limerick","Number","12"
"Active Enterprises","2013","All persons engaged size classes","All Counties","Number","243571"
"Active Enterprises","2013","All persons engaged size classes","Dublin","Number","76956"
"Active Enterprises","2013","All persons engaged size classes","Cork","Number","26927"
"Active Enterprises","2013","All persons engaged size classes","Limerick","Number","8869"
"Active Enterprises","2013","250 and over","All Counties","Number","505"
"Active Enterprises","2013","250 and over","Dublin","Number","305"
"Active Enterprises","2013","250 and over","Cork","Number","45"
"Active Enterprises","2013","250 and over","Limerick","Number","12"
"Active Enterprises","2014","All persons engaged size classes","All Counties","Number","238249"
"Active Enterprises","2014","All persons engaged size classes","Dublin","Number","75713"
"Active Enterprises","2014","All persons engaged size classes","Cork","Number","26509"
"Active Enterprises","2014","All persons engaged size classes","Limerick","Number","8609"
"Active Enterprises","2014","250 and over","All Counties","Number","514"
"Active Enterprises","2014","250 and over","Dublin","Number","308"
"Active Enterprises","2014","250 and over","Cork","Number","48"
"Active Enterprises","2014","250 and over","Limerick","Number","14"
"Active Enterprises","2015","All persons engaged size classes","All Counties","Number","248843"
"Active Enterprises","2015","All persons engaged size classes","Dublin","Number","79508"
"Active Enterprises","2015","All persons engaged size classes","Cork","Number","27391"
"Active Enterprises","2015","All persons engaged size classes","Limerick","Number","8979"
"Active Enterprises","2015","250 and over","All Counties","Number","540"
"Active Enterprises","2015","250 and over","Dublin","Number","323"
"Active Enterprises","2015","250 and over","Cork","Number","43"
"Active Enterprises","2015","250 and over","Limerick","Number","12"
"Active Enterprises","2016","All persons engaged size classes","All Counties","Number","250033"
"Active Enterprises","2016","All persons engaged size classes","Dublin","Number","79821"
"Active Enterprises","2016","All persons engaged size classes","Cork","Number","27757"
"Active Enterprises","2016","All persons engaged size classes","Limerick","Number","9032"
"Active Enterprises","2016","250 and over","All Counties","Number","582"
"Active Enterprises","2016","250 and over","Dublin","Number","343"
"Active Enterprises","2016","250 and over","Cork","Number","50"
"Active Enterprises","2016","250 and over","Limerick","Number","15"
"Active Enterprises","2017","All persons engaged size classes","All Counties","Number","271166"
"Active Enterprises","2017","All persons engaged size classes","Dublin","Number","87828"
"Active Enterprises","2017","All persons engaged size classes","Cork","Number","30041"
"Active Enterprises","2017","All persons engaged size classes","Limerick","Number","9561"
"Active Enterprises","2017","250 and over","All Counties","Number","609"
"Active Enterprises","2017","250 and over","Dublin","Number","365"
"Active Enterprises","2017","250 and over","Cork","Number","48"
"Active Enterprises","2017","250 and over","Limerick","Number","15"
"Active Enterprises","2018","All persons engaged size classes","All Counties","Number","270344"
"Active Enterprises","2018","All persons engaged size classes","Dublin","Number","88161"
"Active Enterprises","2018","All persons engaged size classes","Cork","Number","29811"
"Active Enterprises","2018","All persons engaged size classes","Limerick","Number","9437"
"Active Enterprises","2018","250 and over","All Counties","Number","657"
"Active Enterprises","2018","250 and over","Dublin","Number","388"
"Active Enterprises","2018","250 and over","Cork","Number","58"
"Active Enterprises","2018","250 and over","Limerick","Number","17"
"Active Enterprises","2019","All persons engaged size classes","All Counties","Number","272531"
"Active Enterprises","2019","All persons engaged size classes","Dublin","Number","83467"
"Active Enterprises","2019","All persons engaged size classes","Cork","Number","28377"
"Active Enterprises","2019","All persons engaged size classes","Limerick","Number","9012"
"Active Enterprises","2019","250 and over","All Counties","Number","732"
"Active Enterprises","2019","250 and over","Dublin","Number","437"
"Active Enterprises","2019","250 and over","Cork","Number","61"
"Active Enterprises","2019","250 and over","Limerick","Number","18"
"Active Enterprises","2020","All persons engaged size classes","All Counties","Number","278862"
"Active Enterprises","2020","All persons engaged size classes","Dublin","Number","91556"
"Active Enterprises","2020","All persons engaged size classes","Cork","Number","29708"
"Active Enterprises","2020","All persons engaged size classes","Limerick","Number","9497"
"Active Enterprises","2020","250 and over","All Counties","Number","666"
"Active Enterprises","2020","250 and over","Dublin","Number","413"
"Active Enterprises","2020","250 and over","Cork","Number","56"
"Active Enterprises","2020","250 and over","Limerick","Number","14"
